Input Size,Run Time (ns)
0,1237
1,1590
2,1713
3,1837
4,1442
5,1777
6,1761
7,1758
8,1744
9,1742
10,1968
11,1671
12,1745
13,4954
14,4926
15,5253
16,5646
17,5375
18,5123
19,5334
20,4571
21,5525
22,4559
23,4997
24,4861
Input Size,Run Time (ns)
0,1854
1,1765
2,1889
3,1565
4,1573
5,1736
6,1640
7,1742
8,1794
9,1957
10,1731
11,1787
12,1731
13,4787
14,4828
15,5792
16,5349
17,5319
18,5228
19,4979
20,5623
21,6255
22,5103
23,5987
24,5655
Input Size,Run Time (ns)
0,2599
1,3473
2,3636
3,3357
4,3429
5,3305
6,3122
7,3553
8,3174
9,4003
10,3304
11,3264
12,2871
13,3093
14,2962
15,2972
16,3009
17,3267
18,2996
19,3021
20,3526
21,5059
22,6607
23,5871
24,5405
Input Size,Run Time (ns)
0,2633
1,3300
2,3048
3,3453
4,3111
5,3012
6,3094
7,3201
8,3367
9,3450
10,3304
11,3736
12,3295
13,3401
14,3982
15,3775
16,3890
17,3804
18,3670
19,3345
20,4017
21,5872
22,6025
23,7141
24,6012
Input Size,Run Time (ns)
0,2381
1,2809
2,2757
3,2689
4,2677
5,2805
6,2787
7,2967
8,2960
9,3314
10,3984
11,3188
12,2780
13,2927
14,2939
15,2951
16,2854
17,2904
18,2847
19,2739
20,3166
21,5604
22,5358
23,5416
24,6254
Input Size,Run Time (ns)
0,2107
1,2374
2,2536
3,2505
4,2426
5,2391
6,2443
7,2490
8,2482
9,2398
10,2765
11,2731
12,2594
13,2798
14,2544
15,2574
16,2790
17,2658
18,2984
19,3205
20,2894
21,5835
22,5613
23,6137
24,5838
Input Size,Run Time (ns)
0,2405
1,2323
2,2803
3,2966
4,2848
5,3031
6,2748
7,3356
8,2908
9,3043
10,3166
11,2848
12,3040
13,3253
14,3447
15,3063
16,2930
17,3015
18,2698
19,3025
20,3270
21,2946
22,2903
23,5592
24,5135
Input Size,Run Time (ns)
0,2198
1,2505
2,2890
3,2968
4,3182
5,3071
6,3062
7,3155
8,2903
9,3108
10,3086
11,3275
12,2851
13,2882
14,2736
15,1737
16,2606
17,2748
18,2437
19,2477
20,2988
21,1931
22,2803
23,6158
24,5781
